FIPS Code,Locality,"April 1, 2010 Census","July 1, 2019 Estimate",Numeric Change,Percent Change,,,
,Virginia,8001024,8535519,534495,0.066803324,,,
,,,,,,,,
001,Accomack County,33164,32561,-603,-0.018182366,,,
003,Albemarle County,99010,109722,10712,0.108191092,,,
005,Alleghany County,16250,14952,-1298,-0.079876923,,,
007,Amelia County,12690,13053,363,0.028605201,,,
009,Amherst County,32353,31766,-587,-0.018143603,,,
011,Appomattox County,14973,15818,845,0.056434916,,,
013,Arlington County,207627,242152,34525,0.166283768,,,
015,Augusta County,73750,75831,2081,0.028216949,,,
017,Bath County,4731,4318,-413,-0.087296555,,,
019,Bedford County,74898,78581,3683,0.049173543,,,
021,Bland County,6824,6364,-460,-0.067409144,,,
023,Botetourt County,33148,33494,346,0.010438035,,,
025,Brunswick County,17434,16292,-1142,-0.065504187,,,
027,Buchanan County,24098,21295,-2803,-0.116316707,,,
029,Buckingham County,17146,17075,-71,-0.004140908,,,
031,Campbell County,54842,55480,638,0.01163342,,,
033,Caroline County,28545,30318,1773,0.062112454,,,
035,Carroll County,30042,29137,-905,-0.030124492,,,
036,Charles City County,7256,7016,-240,-0.033076075,,,
037,Charlotte County,12586,11928,-658,-0.052280311,,,
041,Chesterfield County,316236,350760,34524,0.109171631,,,
043,Clarke County,14034,14360,326,0.0232293,,,
045,Craig County,5190,5108,-82,-0.015799615,,,
047,Culpeper County,46689,51998,5309,0.113709867,,,
049,Cumberland County,10052,9855,-197,-0.01959809,,,
051,Dickenson County,15903,14299,-1604,-0.100861473,,,
053,Dinwiddie County,28001,28667,666,0.023784865,,,
057,Essex County,11151,10765,-386,-0.03461573,,,
059,Fairfax County,1081699,1143528,61829,0.057159154,,,
061,Fauquier County,65203,70580,5377,0.082465531,,,
063,Floyd County,15279,15561,282,0.018456705,,,
065,Fluvanna County,25691,27038,1347,0.052430812,,,
067,Franklin County,56159,55782,-377,-0.006713082,,,
069,Frederick County,78305,88830,10525,0.134410319,,,
071,Giles County,17286,16757,-529,-0.0306028,,,
073,Gloucester County,36858,37090,232,0.006294427,,,
075,Goochland County,21717,23472,1755,0.080812267,,,
077,Grayson County,15533,15445,-88,-0.005665358,,,
079,Greene County,18403,20097,1694,0.092050209,,,
081,Greensville County,12243,11408,-835,-0.068202238,,,
083,Halifax County,36241,34329,-1912,-0.052757926,,,
085,Hanover County,99863,107928,8065,0.080760642,,,
087,Henrico County,306935,328999,22064,0.071884927,,,
089,Henry County,54151,51019,-3132,-0.057838267,,,
091,Highland County,2321,2246,-75,-0.032313658,,,
093,Isle of Wight County,35270,37649,2379,0.067451092,,,
095,James City County,67009,75907,8898,0.132788133,,,
097,King and Queen County,6945,6902,-43,-0.006191505,,,
099,King George County,23584,26016,2432,0.10312076,,,
101,King William County,15935,17133,1198,0.07518042,,,
103,Lancaster County,11391,10829,-562,-0.049337196,,,
105,Lee County,25587,23810,-1777,-0.06944933,,,
107,Loudoun County,312311,413546,101235,0.324148045,,,
109,Louisa County,33153,36620,3467,0.104575755,,,
111,Lunenburg County,12914,12246,-668,-0.051726808,,,
113,Madison County,13308,13251,-57,-0.004283138,,,
115,Mathews County,8978,8645,-333,-0.037090666,,,
117,Mecklenburg County,32727,30917,-1810,-0.055306016,,,
119,Middlesex County,10959,10712,-247,-0.022538553,,,
121,Montgomery County,94392,100073,5681,0.060185185,,,
125,Nelson County,15020,14794,-226,-0.015046605,,,
127,New Kent County,18429,23066,4637,0.251614304,,,
131,Northampton County,12389,11810,-579,-0.046735007,,,
133,Northumberland County,12330,11981,-349,-0.028304947,,,
135,Nottoway County,15853,15413,-440,-0.027754999,,,
137,Orange County,33481,35921,2440,0.072877154,,,
139,Page County,24042,23857,-185,-0.007694867,,,
